algoritmo;num_laberintos;tamaño_laberinto;prob_cambio;tiempo_total_segundos
A*;10;10;0.1;0.017966508865356445
Genetico;10;10;0.1;6.001899480819702
A*;10;10;0.3;0.014372587203979492
Genetico;10;10;0.3;6.50927472114563
A*;10;10;0.5;0.011479854583740234
Genetico;10;10;0.5;11.976109743118286
A*;50;10;0.1;0.11973428726196289
Genetico;50;10;0.1;31.05198574066162
A*;50;10;0.3;0.11843609809875488
Genetico;50;10;0.3;66.0303361415863
A*;50;10;0.5;0.09990644454956055
Genetico;50;10;0.5;117.36474227905273
A*;10;15;0.1;0.09396100044250488
Genetico;10;15;0.1;8.553483963012695
A*;10;15;0.3;0.06813669204711914
Genetico;10;15;0.3;17.35179591178894
A*;10;15;0.5;0.05433464050292969
Genetico;10;15;0.5;33.82642197608948
A*;50;15;0.1;0.36004042625427246
Genetico;50;15;0.1;58.50316143035889
A*;50;15;0.3;0.36002588272094727
Genetico;50;15;0.3;176.4126114845276
A*;50;15;0.5;0.35752153396606445
Genetico;50;15;0.5;307.1183657646179
A*;10;20;0.1;0.22166228294372559
Genetico;10;20;0.1;17.9240505695343
A*;10;20;0.3;0.21464967727661133
Genetico;10;20;0.3;67.90812110900879
A*;10;20;0.5;0.2513597011566162
Genetico;10;20;0.5;123.77555012702942
A*;50;20;0.1;0.9852375984191895
Genetico;50;20;0.1;137.6247000694275
A*;50;20;0.3;1.032270908355713
Genetico;50;20;0.3;372.3528673648834
A*;50;20;0.5;1.0801067352294922
Genetico;50;20;0.5;687.793867111206
A*;10;25;0.1;0.256472110748291
Genetico;10;25;0.1;15.576475143432617
A*;10;25;0.3;0.22672319412231445
Genetico;10;25;0.3;33.48777651786804
A*;10;25;0.5;0.24074077606201172
Genetico;10;25;0.5;212.6191065311432
A*;50;25;0.1;2.262233018875122
Genetico;50;25;0.1;151.37443614006042
A*;50;25;0.3;2.081033229827881
Genetico;50;25;0.3;618.0330245494843
A*;50;25;0.5;2.270458698272705
Genetico;50;25;0.5;1393.840903043747
